numero_de_cliente,foto_mes,active_quarter,cliente_vip,internet,cliente_edad,cliente_antiguedad,mrentabilidad,mrentabilidad_annual,mcomisiones,mactivos_margen,mpasivos_margen,cproductos,tcuentas,ccuenta_corriente,mcuenta_corriente_adicional,mcuenta_corriente,ccaja_ahorro,mcaja_ahorro,mcaja_ahorro_adicional,mcaja_ahorro_dolares,cdescubierto_preacordado,mcuentas_saldo,ctarjeta_debito,ctarjeta_debito_transacciones,mautoservicio,ctarjeta_visa,ctarjeta_visa_transacciones,mtarjeta_visa_consumo,ctarjeta_master,ctarjeta_master_transacciones,mtarjeta_master_consumo,cprestamos_personales,mprestamos_personales,cprestamos_prendarios,mprestamos_prendarios,cprestamos_hipotecarios,mprestamos_hipotecarios,cplazo_fijo,mplazo_fijo_dolares,mplazo_fijo_pesos,cinversion1,minversion1_pesos,minversion1_dolares,cinversion2,minversion2,cseguro_vida,cseguro_auto,cseguro_vivienda,cseguro_accidentes_personales,ccaja_seguridad,cpayroll_trx,mpayroll,mpayroll2,cpayroll2_trx,ccuenta_debitos_automaticos,mcuenta_debitos_automaticos,ctarjeta_visa_debitos_automaticos,mttarjeta_visa_debitos_automaticos,ctarjeta_master_debitos_automaticos,mttarjeta_master_debitos_automaticos,cpagodeservicios,mpagodeservicios,cpagomiscuentas,mpagomiscuentas,ccajeros_propios_descuentos,mcajeros_propios_descuentos,ctarjeta_visa_descuentos,mtarjeta_visa_descuentos,ctarjeta_master_descuentos,mtarjeta_master_descuentos,ccomisiones_mantenimiento,mcomisiones_mantenimiento,ccomisiones_otras,mcomisiones_otras,cforex,cforex_buy,mforex_buy,cforex_sell,mforex_sell,ctransferencias_recibidas,mtransferencias_recibidas,ctransferencias_emitidas,mtransferencias_emitidas,cextraccion_autoservicio,mextraccion_autoservicio,ccheques_depositados,mcheques_depositados,ccheques_emitidos,mcheques_emitidos,ccheques_depositados_rechazados,mcheques_depositados_rechazados,ccheques_emitidos_rechazados,mcheques_emitidos_rechazados,tcallcenter,ccallcenter_transacciones,thomebanking,chomebanking_transacciones,ccajas_transacciones,ccajas_consultas,ccajas_depositos,ccajas_extracciones,ccajas_otras,catm_trx,matm,catm_trx_other,matm_other,ctrx_quarter,tmobile_app,cmobile_app_trx,Master_delinquency,Master_status,Master_mfinanciacion_limite,Master_Fvencimiento,Master_Finiciomora,Master_msaldototal,Master_msaldopesos,Master_msaldodolares,Master_mconsumospesos,Master_mconsumosdolares,Master_mlimitecompra,Master_madelantopesos,Master_madelantodolares,Master_fultimo_cierre,Master_mpagado,Master_mpagospesos,Master_mpagosdolares,Master_fechaalta,Master_mconsumototal,Master_cconsumos,Master_cadelantosefectivo,Master_mpagominimo,Visa_delinquency,Visa_status,Visa_mfinanciacion_limite,Visa_Fvencimiento,Visa_Finiciomora,Visa_msaldototal,Visa_msaldopesos,Visa_msaldodolares,Visa_mconsumospesos,Visa_mconsumosdolares,Visa_mlimitecompra,Visa_madelantopesos,Visa_madelantodolares,Visa_fultimo_cierre,Visa_mpagado,Visa_mpagospesos,Visa_mpagosdolares,Visa_fechaalta,Visa_mconsumototal,Visa_cconsumos,Visa_cadelantosefectivo,Visa_mpagominimo
249272015,202106,1,0,0,40,134,5237.31,35966.66,3912.83,-2410.59,3539.73,7,1,1,0,0,2,58830.29,0,772454.35,1,1024375.52,2,11,10516.53,1,45,107779.26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,239133.64,0,0,1,1251.67,7,9463.4,0,0,0,0,2,5116.39,0,0,0,0,0,0,0,0,10,3912.83,1,0,0,1,217,14,278234.42,4,16656.6,1,9384,0,0,0,0,0,0,0,0,0,0,1,96,0,0,0,0,0,1,9384,0,0,190,0,1,0,0,177357.6,-395,,0,0,0,0,0,197064,0,0,7,0,-6786.43,0,4006,0,0,0,0,0,0,253368,-1126,,97947.17,105937.95,8954.07,75151.67,92.59,281520,0,0,7,0,-63166.73,17.79,4006,75151.67,30,0,12973.38
250605776,202106,1,0,0,47,267,620.59,5070.4,470.29,-157.16,285.3,8,1,1,0,0,2,33766.35,0,0,1,192288.96,1,15,77449.13,1,7,7853.59,1,0,0,0,0,0,0,0,0,1,187680,0,0,0,0,0,0,0,0,0,0,0,3,215657.15,0,0,0,0,2,2400.81,0,0,0,0,8,8156.05,0,0,0,0,0,0,0,0,6,470.29,0,0,0,0,0,2,129030,7,135836.91,1,23460,0,0,0,0,0,0,0,0,0,0,1,68,0,0,0,0,0,1,23460,0,0,133,0,1,0,0,538408,-122,,0,0,0,,,598317.89,,,21,0,,,4276,,,,0,0,0,540898.8,-852,,6795.74,7971.4,0,5238.18,0,601085.84,0,0,7,0,-23404.32,23.8,4276,5238.18,4,0,516.12
250862036,202106,1,0,0,49,29,2991.54,53397.63,6.42,2539.04,5.82,7,2,1,0,0,2,0,0,0,1,0,1,0,0,1,1,767.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,5,0,1,0,0,304041.6,-2160,,0,0,0,,,337824,,,0,0,,,44,,,,0,0,0,304041.6,-1338,,886.96,1040.4,0,0,0,337824,0,0,21,1040.4,-26663.08,0,897,0,0,0,105.57
251460407,202106,1,0,0,70,297,3282.39,68610.18,728.73,228.27,1948.76,10,1,1,0,0,2,118304.25,0,33.68,1,137565.62,2,0,0,1,25,54201.7,1,1,694.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,76245,0,0,1,3097.34,9,17040.6,1,694.41,0,0,0,0,0,0,0,0,0,0,0,0,8,728.73,0,0,0,0,0,2,76245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,87,0,1,0,0,76010.4,-122,,694.41,694.41,0,694.41,0,84456,0,0,7,0,-694.41,0,4283,694.41,1,0,23.46,0,0,152020.8,-1218,,46995.91,54005.18,1121.01,53965.07,9.23,168912,0,0,0,0,-48279.92,11.7,9038,53965.07,27,0,3084.99
251935891,202106,1,0,0,57,136,5707.47,56027.94,1259.16,-96.47,3888.72,9,1,1,0,0,2,233855.16,0,3731998.13,1,4144696.21,2,0,0,1,0,0,1,3,3493.19,0,0,0,0,0,0,2,785910,0,0,0,0,0,0,1,0,0,0,0,4,100594.6,0,0,1,5636.37,0,0,0,0,0,0,4,3842.05,0,0,0,0,0,0,0,0,8,1259.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,75,0,0,0,0,0,0,0,0,0,50,0,0,0,0,757325.57,-1187,,3535.11,3535.11,0,3493.19,0,841497.76,0,0,7,0,-5757.31,0,2862,3493.19,3,0,175.95,0,0,542087.59,-1644,,0,0,0,,,602406.91,,,0,0,,,3838,,,,0
254627555,202106,0,0,2,54,73,3257.32,16664.89,2659.34,509.53,0.26,7,1,1,0,-14564.28,2,0,0,0,1,-17616.27,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2505.95,4,2659.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,253368,-1095,,0,0,0,,,281520,,,0,0,,,1843,,,,0,,,,,,,,,,,,,,,,,,,,,,
254739503,202106,1,0,0,71,304,1249.54,33117.66,404.82,-2369.26,3089.4,9,1,1,0,0,2,225353.51,0,172061.37,1,379587.72,2,0,0,1,13,25273.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,10,18989.81,0,0,0,0,3,8872.67,0,0,0,0,0,0,1,1573.36,8,404.82,0,0,0,0,0,0,0,1,58650,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0,0,0,0,0,0,53,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,177357.6,-1065,,21824.28,25599.88,0,18989,0.36,197064,0,0,0,0,-41610,0,9172,18989,12,0,3530.73
254740083,202106,1,0,0,52,204,-728.74,4267.17,983.36,-3138.93,1679.33,7,1,1,0,0,2,90385.84,0,1403601.72,1,1643831.7,1,13,49691.2,1,10,75244.71,1,1,3693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,241491.37,0,0,6,9672.54,3,56101.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,983.36,0,0,0,0,0,3,241491.37,6,8329.47,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,0,0,0,0,0,128,0,0,0,0,709430.4,-395,,3737.31,3737.31,0,0,0,788256,0,0,7,0,-10177.39,0,5817,0,0,0,410.55,0,0,354715.2,-1157,,64813.89,76026.69,0,58823.77,0,394128,0,0,7,0,-79807.43,0,6167,58823.77,6,0,4774.11
254837949,202106,1,0,0,59,325,4041.33,58795.35,1091.17,1827.5,687.56,7,1,1,0,-756.24,2,47652.55,0,58.39,1,165360.59,2,47,63950.3,1,11,9305.92,0,0,0,2,38214.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,210191.25,0,0,5,8345.32,5,4274.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1091.17,0,0,0,0,0,0,0,1,9188.36,13,22521.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,18064.2,4,4457.4,273,0,0,,,,,,,,,,,,,,,,,,,,,,,0,0,101347.2,-1522,,48332.15,56693.61,0,7799.84,0,112608,0,0,0,0,-10345.86,0,8371,7799.84,8,0,11190.42
255309496,202106,1,0,0,42,177,3378.02,8046.88,617.54,2169.9,183.45,5,1,1,0,0,2,14214.62,0,11.22,0,16168.59,1,7,112364.74,0,0,0,0,0,0,1,129030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,107679.12,0,0,7,11685.28,0,0,0,0,0,0,6,10804.79,0,0,0,0,0,0,0,0,4,617.54,0,0,0,0,0,4,66981.98,11,58386.07,3,66743.7,0,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,3,66743.7,0,0,109,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
